customer_id,recency,frequency,monetary,R_score,F_score,M_score,RFM_score,segment,cluster,rank
88bfbe93f1c2d378de7fb22d588f9661,118,1,2207.98,3,3,4,10,VIP_Clients,3,121
2d54c241a27d5c40c9adf389868e0995,230,1,2204.04,2,1,4,7,Potential_Customers,3,122
be1b70680b9f9694d8c70f41fa3dc92b,188,1,2202.4,3,3,4,10,VIP_Clients,3,123
448fa305155e5a7e114440aa71143832,534,1,2190.4,1,2,4,7,Potential_Customers,3,124
64db2343d52d9c28c5b8a94d08352a3a,65,1,2187.42,4,2,4,10,VIP_Clients,3,125
2e9ae3e10bcfcc16fe0eedc2ac5f9f6a,6,1,2187.42,4,1,4,9,Loyal_Customers,3,126
fcc823f0ae4f596e54cd461c145dfd5d,89,1,2183.6,4,4,4,12,VIP_Clients,3,127
75ca64dc8e37ef74840b9c5975c29fb7,524,1,2168.6,1,2,4,7,Potential_Customers,3,128
6d7c040dec6d2f6da6a63929bdec436d,67,1,2158.57,4,2,4,10,VIP_Clients,3,129
f1539aca62cfda94501933977e2d651d,25,1,2155.35,4,4,4,12,VIP_Clients,3,130
99ef3b28b2ab64bf0a00c2a5c9bafadd,354,1,2154.82,1,3,4,8,Loyal_Customers,3,131
462bfc136787eae6609ca5890feb3e02,148,1,2153.35,3,2,4,9,Loyal_Customers,3,132
7b6ceb73c7d700281dd1a2fc3d616128,148,1,2153.35,3,2,4,9,Loyal_Customers,3,133
dd43426ee4923b0a1c0dcd48cc1ee36e,102,1,2153.35,4,4,4,12,VIP_Clients,3,134
c9fca216d2d1ece33dbddf9fa36eaa9a,117,1,2153.35,3,4,4,11,VIP_Clients,3,135
73236a0796f53d60d4530e30df0cef8d,235,1,2152.92,2,2,4,8,Loyal_Customers,3,136
68d91c479bafcd184deee1cce5582243,78,1,2151.29,4,2,4,10,VIP_Clients,3,137
e69714d6b494f7279512327ebcc01889,470,1,2150.81,1,4,4,9,Loyal_Customers,3,138
e000c51c02fb75809f4f2864f87fcb12,286,1,2150.22,2,4,4,10,VIP_Clients,3,139
c04734728558c8ad7e4b1db771fde5e3,295,1,2148.4,2,4,4,10,VIP_Clients,3,140
4f6b63ab9179d2cae7d2b9be48c33271,98,1,2133.6899999999996,4,2,4,10,VIP_Clients,3,141
3b34eb193a790f18c1952eca8a964987,118,1,2124.78,3,1,4,8,Loyal_Customers,3,142
2b5734a6ed90ad9c1ae03b178a28d7e7,22,1,2115.79,4,1,4,9,Loyal_Customers,3,143
e07f0f4cab25170d8b2d28cf80a38370,109,1,2115.05,4,4,4,12,VIP_Clients,3,144
e95fd5cca40cc862687dda4846f9ac00,127,1,2114.63,3,4,4,11,VIP_Clients,3,145
185830935eb09d19b034abbab645177c,514,1,2111.57,1,1,4,6,Potential_Customers,3,146
f1ae10afb8ffce973dc435056dd3634c,141,1,2110.57,3,4,4,11,VIP_Clients,3,147
b30e4f64673460bd0dc5c76eb312267a,279,1,2106.55,2,3,4,9,Loyal_Customers,3,148
c3ffeaa392284be251124a112629c41c,124,1,2105.57,3,4,4,11,VIP_Clients,3,149
a023e60d1438c4241673afd111cd1cf3,14,1,2098.4,4,3,4,11,VIP_Clients,3,150
b2a89e46355af5dfd2f26b450d97a014,213,1,2096.14,3,3,4,10,VIP_Clients,3,151
f800529518f024fb68b8a716cddbbfe4,145,1,2094.44,3,4,4,11,VIP_Clients,3,152
1ad8bdb3f2f3403ef79ad8d80dc8d425,217,1,2092.86,3,1,4,8,Loyal_Customers,3,153
088d20d5878711d537176871a6e850e4,186,1,2091.33,3,1,4,8,Loyal_Customers,3,154
adbc189e955a3bf544172851c2160b1e,316,1,2083.09,2,3,4,9,Loyal_Customers,3,155
91263ec82ca46a8d1ef6d2f0e07cbc46,57,1,2082.36,4,3,4,11,VIP_Clients,3,156
e9bca2aac8f400109e997596326d9227,93,1,2075.48,4,4,4,12,VIP_Clients,3,157
74be082247cd677a147d83ee670e9d53,447,1,2067.42,1,2,4,7,Potential_Customers,3,158
d5c70e33b26d11965027895a8e8cb748,308,1,2066.34,2,4,4,10,VIP_Clients,3,159
6db251bad58edca6d53d44638936741a,71,1,2065.77,4,2,4,10,VIP_Clients,3,160
3af6cebe5d3701bd4f3b5fc04e34acc0,379,1,2065.35,1,1,4,6,Potential_Customers,3,161
95388d69f3c29e5f8a570f9b9b3a104f,435,1,2064.88,1,3,4,8,Loyal_Customers,3,162
3dd8ceff216c5048e53be249aa622709,127,1,2060.51,3,1,4,8,Loyal_Customers,3,163
f54d024dc9788318f1b4e2ef9c80829b,226,1,2060.2,2,4,4,10,VIP_Clients,3,164
e215081c5233958b3ac345346676f7ab,230,1,2060.2,2,4,4,10,VIP_Clients,3,165
77d697d535b401291fd2a9efe2c9544b,105,1,2055.84,4,2,4,10,VIP_Clients,3,166
04889e0130acf2e7b2de087d02994ce3,142,1,2048.12,3,1,4,8,Loyal_Customers,3,167
cd1822306d5e43d356c576efdc0eadf1,79,1,2045.47,4,4,4,12,VIP_Clients,3,168
c6e4affe776c84f449dfe5de63939208,305,1,2039.31,2,4,4,10,VIP_Clients,3,169
0c792d32a3251b4f69dae8646dfbedbc,298,1,2039.2,2,1,4,7,Potential_Customers,3,170
681e1722bde7781f6fba4cb385af0ba5,441,1,2036.86,1,2,4,7,Potential_Customers,3,171
9f34131462cd5edccdc9d4db9f7d2bbc,112,1,2036.04,4,3,4,11,VIP_Clients,3,172
98532992427099604afabf482a6e476c,437,1,2035.86,1,3,4,8,Loyal_Customers,3,173
f00870f85b77deccee72bf3ee280785f,408,1,2034.48,1,4,4,9,Loyal_Customers,3,174
c60a729ffd1915e57d9ac6ef86553af9,112,1,2034.31,4,4,4,12,VIP_Clients,3,175
f9e3d57a81a5390d5c19d3d6796ab7f1,437,1,2033.48,1,4,4,9,Loyal_Customers,3,176
b83ef9a2dc0cb8e6ab7c8db9d3ebce24,275,1,2032.04,2,3,4,9,Loyal_Customers,3,177
591056a6022efa0e68acb35c04aa2c2e,18,1,2032.0,4,2,4,10,VIP_Clients,3,178
730ec2ba3a8c9b4ce02b938be8b61ac1,282,1,2031.47,2,2,4,8,Loyal_Customers,3,179
d854800a320bbb07b484f76894e4638f,59,1,2031.09,4,4,4,12,VIP_Clients,3,180
d48e06972235c6510cc66cebc10ab77e,442,1,2029.6200000000001,1,4,4,9,Loyal_Customers,3,181
5382e619221117fc8021550996a4e417,285,1,2028.75,2,2,4,8,Loyal_Customers,3,182
c9aaa3f209648a958d0235415a9045f0,178,1,2028.65,3,4,4,11,VIP_Clients,3,183
a43a550af53ee1ce07bdc3ece23eb7a9,262,1,2027.65,2,3,4,9,Loyal_Customers,3,184
90f95d8ee6174e4409aeeee472735afb,117,1,2027.26,3,3,4,10,VIP_Clients,3,185
7befa76e61226aa04ca6b28a5f00d640,310,1,2027.23,2,2,4,8,Loyal_Customers,3,186
cfc025a164a95cd7206415925d71021b,515,1,2027.16,1,4,4,9,Loyal_Customers,3,187
881ce84e31c104592c93a2e730cf69a7,407,1,2026.54,1,3,4,8,Loyal_Customers,3,188
c900b2707ddd00c2ba5fcde30c52ee8c,438,1,2026.54,1,4,4,9,Loyal_Customers,3,189
fc01be5a07da7c0f32af1ffeaf716e81,440,1,2026.54,1,4,4,9,Loyal_Customers,3,190
b34d6bae5e0a3076568c8f04faad2c26,438,1,2026.54,1,3,4,8,Loyal_Customers,3,191
7b7f18d5f94e3c25bd66ec35e87383f0,149,1,2024.31,3,2,4,9,Loyal_Customers,3,192
44b701cb9a97bd1780bba0d1233d8d12,325,1,2023.58,2,2,4,8,Loyal_Customers,3,193
b7a4690ba0bc91f249bb7fd25b3be748,579,1,2023.0,1,3,4,8,Loyal_Customers,3,194
bac7b04d729fa677b66ba672c6d4508e,13,1,2022.33,4,3,4,11,VIP_Clients,3,195
1d38e09bf3ba5793913255c5a736c6e6,108,1,2022.02,4,1,4,9,Loyal_Customers,3,196
42c0b09d094220a110c0e0e941f76f06,475,1,2017.08,1,2,4,7,Potential_Customers,3,197
466dcf5fcdc7c7a8a4bfebc7ce59b281,12,1,2014.99,4,2,4,10,VIP_Clients,3,198
48cb41a28af5b64c305fe8c1f1adec3a,318,1,2009.62,2,2,4,8,Loyal_Customers,3,199
cb2c06446ac914ce396dd4ef8561a4f5,255,1,1996.32,2,4,4,10,VIP_Clients,3,200
fdf0fe7cd1365ffdcbbc3b95273a20a5,97,1,1995.69,4,4,4,12,VIP_Clients,3,201
dfabe2a9f4e2fc9e248eda9e0d80a369,79,1,1992.42,4,4,4,12,VIP_Clients,3,202
fb7c663bd0931abefc7a84181a9e7f24,144,1,1989.96,3,4,4,11,VIP_Clients,3,203
b44a611059f1fdd8ddcdaea0b3f2483e,142,1,1989.75,3,3,4,10,VIP_Clients,3,204
8c20d9bfbc96c5d39025d77a3ba83d7f,209,1,1988.5300000000002,3,3,4,10,VIP_Clients,3,205
0288ac534f6ba035350df2527703ed47,185,1,1981.22,3,1,4,8,Loyal_Customers,3,206
fc60ab8252b98a6e60c51672d7853c7e,476,1,1980.71,1,4,4,9,Loyal_Customers,3,207
f21be09ed30fde5bcd335c7f3637f128,26,1,1978.18,4,4,4,12,VIP_Clients,3,208
5c51fe11e0c3a016201653955c6090ee,56,1,1972.0,4,2,4,10,VIP_Clients,3,209
27ab33d6c14857fd5dcca0c26a063d3b,526,1,1966.91,1,1,4,6,Potential_Customers,3,210
afa337470e2e86d962cd960ac3bcacb9,350,1,1963.97,2,3,4,9,Loyal_Customers,3,211
6a37a9c7d62108c3bbd5397b3b0ccd57,144,1,1963.14,3,2,4,9,Loyal_Customers,3,212
393df32d466d4952412196461ac05d52,141,1,1963.14,3,1,4,8,Loyal_Customers,3,213
da0e3c0c74aa558e9db33c5e59dd4570,128,1,1963.14,3,4,4,11,VIP_Clients,3,214
1d088dea8732788ec35dd4ee6dd76112,577,1,1961.0,1,1,4,6,Potential_Customers,3,215
068830daf2867cadbfc655e6a413388e,151,1,1951.95,3,1,4,8,Loyal_Customers,3,216
aea2cf4df1922144129a0e8c2353a8cd,479,1,1944.86,1,3,4,8,Loyal_Customers,3,217
0928c1a893356a97b2191a1e812c9914,394,1,1942.6,1,1,4,6,Potential_Customers,3,218
853dca88fd662dc5711018f1f7932a59,361,1,1942.0,1,3,4,8,Loyal_Customers,3,219
9da31b8e8f438421c5a3f43b0b7a7e3f,437,1,1938.74,1,3,4,8,Loyal_Customers,3,220
1217bf0350d846210fecc72bfa663ce1,110,1,1937.64,4,1,4,9,Loyal_Customers,3,221
4d175c61c1054192238fbd35a5e4dcfe,79,1,1936.99,4,2,4,10,VIP_Clients,3,222
652179d9b584aea5a6de577d7e707513,348,1,1936.5,2,2,4,8,Loyal_Customers,3,223
f15f4f73e287b4b7888e4eebc800a771,547,1,1936.27,1,4,4,9,Loyal_Customers,3,224
019200fa574c9eda0fbc82c71fcc8fbe,36,1,1930.34,4,1,4,9,Loyal_Customers,3,225
a56e946b1a51b5f351a804c5a3fb0a8e,60,1,1927.38,4,3,4,11,VIP_Clients,3,226
cfd6f06e347f3a8389a5fc487a6a3c7e,464,1,1925.81,1,4,4,9,Loyal_Customers,3,227
38fc30b75b381342c67d25e2f11ccec0,87,1,1925.77,4,1,4,9,Loyal_Customers,3,228
78f9a490b37c9cd175cd731e24e9b598,62,1,1924.03,4,2,4,10,VIP_Clients,3,229
016025d2b068f90498479376f9bfcca1,335,1,1916.96,2,1,4,7,Potential_Customers,3,230
7cec2ad3ecf1b10ce543161225a13a97,23,1,1916.08,4,2,4,10,VIP_Clients,3,231
c0101b91cb49da980a14e5eb006ab394,73,1,1915.53,4,4,4,12,VIP_Clients,3,232
638be9d39246650868db07d10456527c,111,1,1915.13,4,2,4,10,VIP_Clients,3,233
0b873e99a8f0f2b3432d1678dc3fd2a0,149,1,1902.55,3,1,4,8,Loyal_Customers,3,234
ddffe99936ec5bf99f1ea9ad22fde3eb,479,1,1901.62,1,4,4,9,Loyal_Customers,3,235
0ef4273145d74465c180b6a9fbb9799b,13,1,1898.61,4,1,4,9,Loyal_Customers,3,236
f19f11ddfa4f4d61154a277408a98d0c,234,1,1898.27,2,4,4,10,VIP_Clients,3,237
c69a08ef1c07bde2bbcab44dce1bd0b6,265,1,1894.41,2,4,4,10,VIP_Clients,3,238
2353f5b23c907409f668b09d1d2fb9e9,107,1,1891.63,4,1,4,9,Loyal_Customers,3,239
86be5e5905f155c3f5df8928ee78cf54,103,1,1891.07,4,3,4,11,VIP_Clients,3,240
787f1bad1d98254d7d9c7a08dace9559,456,1,1878.39,1,2,4,7,Potential_Customers,3,241
b0609e4e1e28ba6d9744ab92d21c05a6,376,1,1877.8400000000001,1,3,4,8,Loyal_Customers,3,242
c4323ed2364aa7cc92db81c5fea0007a,218,1,1872.26,3,4,4,11,VIP_Clients,3,243
7dacda3efc762f10146d7d824846c015,78,1,1871.64,4,2,4,10,VIP_Clients,3,244
d27699950318f5683014e2d58dd75cc1,143,1,1869.8,3,4,4,11,VIP_Clients,3,245
8251d516855b284bc530f8582a1371d8,154,1,1867.85,3,3,4,10,VIP_Clients,3,246
cb87122c4871e202777cf243fbea2d12,329,1,1866.7,2,4,4,10,VIP_Clients,3,247
d057951b2e010930970d111b015bc37d,38,1,1861.25,4,4,4,12,VIP_Clients,3,248
f7979c0a310f63a72ea83fd0f2c1de82,38,1,1859.1,4,4,4,12,VIP_Clients,3,249
25dcca1d4dd5e5ae818c2eb083b3d177,216,1,1853.75,3,1,4,8,Loyal_Customers,3,250
ee517d3a38e003aabc2dc2b08a0bc6fb,110,1,1843.85,4,4,4,12,VIP_Clients,3,251
c622c9f760ecd07e8910f01da1a8efa8,29,1,1841.11,4,4,4,12,VIP_Clients,3,252
b127f98da96cebf7699050a73d8826d9,72,1,1839.05,4,3,4,11,VIP_Clients,3,253
3afe43b81b0d102b2ca5138ab53f418a,580,1,1837.16,1,1,4,6,Potential_Customers,3,254
7085964d18945061bea7d21f3a4f3c1e,44,1,1832.54,4,2,4,10,VIP_Clients,3,255
30c8445ed3d74b38901bdc6dd9d90e9e,105,1,1830.99,4,1,4,9,Loyal_Customers,3,256
78eaf64bbec5be698446f147a94ff08c,200,1,1830.9,3,2,4,9,Loyal_Customers,3,257
0dc8607bd2a9e3ba0f6f779a34fd8f1b,451,1,1830.12,1,1,4,6,Potential_Customers,3,258
1e12754604af85397680cb28482f73a6,98,1,1828.41,4,1,4,9,Loyal_Customers,3,259
789866f98a4d051812a2ad7e9c2443c0,464,1,1826.34,1,2,4,7,Potential_Customers,3,260
